id,close,datetime,high,low,name,open,volume
279,9711.96973,2020-02-13,9748.32031,9650.01953,IXIC,9657.04004,2239270000
280,9725.95996,2020-02-12,9728.76953,9666.69043,IXIC,9688.59961,2355000000
281,9638.94043,2020-02-11,9714.74023,9617.20996,IXIC,9680.88965,2423670000
282,9628.38965,2020-02-10,9628.66016,9493.62988,IXIC,9493.62988,2179310000
283,9520.50977,2020-02-07,9570.08984,9496.53027,IXIC,9526.63965,2238670000
284,9572.15039,2020-02-06,9575.66016,9505.67969,IXIC,9540.98047,2267300000
285,9508.67969,2020-02-05,9574.94043,9454.92969,IXIC,9574.09961,2462470000
286,9467.96973,2020-02-04,9485.37988,9374.04980,IXIC,9398.38965,2445420000
287,9273.40039,2020-02-03,9299.84961,9188.54980,IXIC,9190.71973,2420510000
288,9150.94043,2020-01-31,9324.79980,9123.21973,IXIC,9324.33008,2685840000
289,9298.92969,2020-01-30,9303.00000,9185.17969,IXIC,9211.15039,2333500000
290,9275.16016,2020-01-29,9329.12012,9249.04004,IXIC,9318.25977,2223480000
291,9269.67969,2020-01-28,9288.87012,9182.33008,IXIC,9201.82031,2157830000
292,9139.30957,2020-01-27,9185.45020,9088.04004,IXIC,9092.45996,2583330000
293,9314.91016,2020-01-24,9451.42969,9273.23047,IXIC,9446.20996,2611710000
294,9402.48047,2020-01-23,9409.20020,9334.12988,IXIC,9377.71973,2460050000
295,9383.76953,2020-01-22,9439.29004,9375.12988,IXIC,9413.61035,2449390000
296,9370.80957,2020-01-21,9397.58008,9350.20020,IXIC,9361.07031,2684540000
297,9388.94043,2020-01-17,9393.48047,9346.80957,IXIC,9392.37012,2522670000
298,9357.12988,2020-01-16,9357.91992,9301.32031,IXIC,9313.45020,2301400000
299,9258.70020,2020-01-15,9298.82031,9231.13965,IXIC,9253.75977,2435650000
300,9251.33008,2020-01-14,9298.33008,9226.49023,IXIC,9270.61035,2542170000
301,9273.92969,2020-01-13,9274.49023,9193.05957,IXIC,9213.71973,2530270000
302,9178.86035,2020-01-10,9235.20020,9164.66016,IXIC,9232.95020,2378990000
303,9203.42969,2020-01-09,9215.95020,9158.50000,IXIC,9202.26953,2534700000
304,9129.24023,2020-01-08,9168.88965,9059.37988,IXIC,9068.03027,2464090000
305,9068.58008,2020-01-07,9091.92969,9042.54980,IXIC,9076.63965,2352850000
306,9071.46973,2020-01-06,9072.41016,8943.50000,IXIC,8943.50000,2788120000
307,9020.76953,2020-01-03,9065.75977,8976.42969,IXIC,8976.42969,2567400000
308,9092.19043,2020-01-02,9093.42969,9010.88965,IXIC,9039.45996,2848370000
309,41.52000,2020-04-09,43.87000,41.48000,VIX,43.12000,
310,43.43000,2020-04-08,45.75000,42.53000,VIX,44.62000,
311,45.97000,2020-04-07,47.37000,43.62000,VIX,44.29000,
312,44.61000,2020-04-06,45.71000,43.45000,VIX,44.58000,
313,46.80000,2020-04-03,52.29000,46.74000,VIX,51.11000,
314,50.91000,2020-04-02,57.24000,50.45000,VIX,54.46000,
315,57.06000,2020-04-01,60.59000,52.76000,VIX,57.38000,
316,53.54000,2020-03-31,58.75000,50.88000,VIX,56.69000,
317,57.08000,2020-03-30,67.69000,56.60000,VIX,66.30000,
318,65.54000,2020-03-27,69.10000,61.80000,VIX,64.95000,
319,61.00000,2020-03-26,67.06000,57.66000,VIX,65.67000,
320,63.95000,2020-03-25,68.86000,58.03000,VIX,61.44000,
321,61.67000,2020-03-24,61.88000,36.24000,VIX,58.76000,
322,61.59000,2020-03-23,76.74000,60.46000,VIX,74.08000,
323,66.04000,2020-03-20,69.51000,57.42000,VIX,67.86000,
324,72.00000,2020-03-19,84.26000,68.57000,VIX,80.62000,
325,76.45000,2020-03-18,85.47000,69.37000,VIX,69.37000,
326,75.91000,2020-03-17,84.83000,70.37000,VIX,82.69000,
327,82.69000,2020-03-16,83.56000,57.83000,VIX,57.83000,
328,57.83000,2020-03-13,77.57000,55.17000,VIX,65.07000,
329,75.47000,2020-03-12,76.83000,59.91000,VIX,61.46000,
330,53.90000,2020-03-11,55.82000,49.98000,VIX,52.24000,
331,47.30000,2020-03-10,55.66000,43.56000,VIX,49.68000,
332,54.46000,2020-03-09,62.12000,41.94000,VIX,41.94000,
333,41.94000,2020-03-06,54.39000,40.84000,VIX,48.93000,
334,39.62000,2020-03-05,42.84000,33.54000,VIX,33.61000,
335,31.99000,2020-03-04,35.58000,30.30000,VIX,34.44000,
336,36.82000,2020-03-03,41.06000,24.93000,VIX,33.65000,
337,33.42000,2020-03-02,40.41000,31.50000,VIX,38.54000,
338,40.11000,2020-02-28,49.48000,39.37000,VIX,42.02000,
339,39.16000,2020-02-27,39.31000,29.37000,VIX,32.14000,
340,27.56000,2020-02-26,29.57000,24.76000,VIX,26.63000,
341,27.85000,2020-02-25,30.25000,22.62000,VIX,23.28000,
342,25.03000,2020-02-24,26.35000,22.00000,VIX,22.25000,
343,17.08000,2020-02-21,18.21000,16.19000,VIX,17.33000,
344,15.56000,2020-02-20,17.21000,14.49000,VIX,14.54000,
345,14.38000,2020-02-19,14.74000,14.21000,VIX,14.66000,
346,14.83000,2020-02-18,15.49000,14.53000,VIX,14.98000,
